Designator,Comment,Footprint,JLCPCB Part #
C1,10uF,Capacitor_SMD:C_0805_2012Metric,C15850 
"C2,C3,C4,C5,C6,C9",100nF,Capacitor_SMD:C_0805_2012Metric,C49678 
"C7,C8",22uF,Capacitor_SMD:C_0805_2012Metric,C602037 
"C10,C11",10pF,Capacitor_SMD:C_0805_2012Metric,C107107 
D1,RED,LED_SMD:LED_0805_2012Metric,C2971979 
J1,USB_B_Micro,Connector_USB:USB_Micro-B_Wuerth_629105150521,C428495 
"J2,J3,J4,J5",Conn_01x04_Pin,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,C213183 
"R1,R3,R4",1k5,Capacitor_SMD:C_0805_2012Metric,C114555 
R2,10k,Capacitor_SMD:C_0805_2012Metric,C84376 
SW1,SW_SPDT,Button_Switch_SMD:SW_SPDT_PCM12,C431541 
U1,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C347222 
U2,STM32F401RETx,Package_QFP:LQFP-64_10x10mm_P0.5mm,C116978
Y1,16MHz,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738 
