JLCPCB Part #,Comment,Footprint,Designator
C28233,100nF,Capacitor_SMD:C_0805_2012Metric,"C2,C3,C4,C5,C6,C9,C20,C21,C18,C19,C27,C28"
C45783,22uF,Capacitor_SMD:C_0805_2012Metric," ""C1"
C13585,10uF,Capacitor_SMD:C_1206_3216Metric,"C10,C11,C29,C30"
C28378,0.1uF,Capacitor_SMD:C_0805_2012Metric,"C12,C14,C31,C35"
C53134,47nF,Capacitor_SMD:C_0805_2012Metric,"C13,C34"
C138687,10uF,Capacitor_SMD:C_1210_3225Metric,"C15,C16,C41,C42"
C1716,150pF,Capacitor_SMD:C_0805_2012Metric,"C17,C40"
C107110,15pF,Capacitor_SMD:C_0805_2012Metric,"C25,C26"
C2297,BLUE,LED_SMD:LED_0805_2012Metric,D1
C72264,B540C-13-F,B540C_13_F:DIOM6959X245N,"D2,D5,D6"
C2286,RED,LED_SMD:LED_0805_2012Metric,"D3,D8"
" 	C57525",C1F-5,C1F_5:FUSC3215X83N,"F1,F3"
C5188718,Battery 1,1724480002:MOLEX_1724480002,"J1,J3"
C598519,USB,custom,J4
C2845127,Cam 1,S05B_PASK_2_LF__SN_:CONN_S05B-PASK-2_JST,"J2, J9,J10,J12"
C144394,Servo,B3B_XH_A:JST_B3B-XH-A,J11
C202111,DM3CS-SF,DM3CS_SF:HRS_DM3CS-SF,J14
C39676082,3.3uH,74438357033:WE-MAPI_4030,"L1,L3"
C95299,Huaneng MLT-7525,LS2,LS2
C236952,NPN,FSB560A:SSOT3_3X1P5_ONS,Q2
C22366684,BSS816NWH6327XTSA1,SOT65P210X100-3N,"Q5,Q6,Q7"
C4310,1k5,Capacitor_SMD:C_0805_2012Metric,"R1,R3,R4,R5,R42"
C2933337,169kR,Capacitor_SMD:C_0805_2012Metric,"R6,R36"
C2758300,52.3kR,Capacitor_SMD:C_0805_2012Metric,"R8,R38"
C269747,49.9R,Capacitor_SMD:C_0805_2012Metric,"R9,R40"
C865640,73.2kR,Capacitor_SMD:C_0805_2012Metric,"R10,R41"
C17414,10kR,Capacitor_SMD:C_0805_2012Metric,"R2, R11,R39, R15,R33,R34,R35, R16,R17,R32"
C17513,1kR,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R18
C17710,470,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,R19
C17408,100R,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"R20,R25,R26"
C346810,CSRN2512FKR500,CSRN2512FKR500:RESC6331X70N,"R27,R28,R29"
 C221841,Boot Switch,Button_Switch_SMD:SW_SPDT_PCM12,"SW1, SW2"
C238129,5016,5016:KEYSTONE_5016,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP11,TP12,TP13"
C6186,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,U1
C116978,STM32F401RETx,Package_QFP:LQFP-64_10x10mm_P0.5mm,U2
C5362283,BMP581,BMP581:QFN10_BMP581_BOS,U3
C2836813,BMI270," 	LGA-14(2.5x3)",U4
 C22392669,TPS56A37RPAR,RPA0010A-MFG,"U5,U8"
C152601,MX25V4006EM1I-13G,SOP8_150_MAC,U7
C130253,32 kHz,ABS07_32_768KHZ_T:XTAL_ABS07-32.768KHZ-T,Y2
