Designator,Mid X,Mid Y,Rotation,Layer
C1,130.9225,-85.440401,-90,top
C2,136.2114,-80.673001,0,top
C3,145.5536,-96.344801,180,top
C4,133.3768,-85.473601,-90,top
C5,137.4408,-96.649601,180,top
C6,149.201,-83.761601,-90,top
C7,115.5,-81.8298,-90,top
C8,115.5,-85.5,90,top
C9,153.657,-56.25,180,top
C10,91.628598,-90.5,180,top
C11,91.633598,-88.087,180,top
C12,92.128598,-92.7352,180,top
C13,88.128598,-100.2,-90,top
C14,95.528598,-98.3,-90,top
C15,90.428598,-107.5,180,top
C16,90.455798,-104.198,180,top
C17,88.128598,-96.8,90,top
C18,146.25,-64.5,90,top
C19,149.25,-63.75,180,top
C20,136.681698,-72.262999,180,top
C21,134.385498,-69.331799,-90,top
C27,155.9574,-105.232601,0,top
C28,152.3975,-98.679401,0,top
C29,107.476,-84.0788,180,top
C30,107.5,-86.5,180,top
C31,108.076,-88.8788,180,top
C34,104.876,-96.5288,-90,top
C35,112.076,-94.0788,-90,top
C40,102.876,-93.0788,90,top
C41,106.476,-103.6788,180,top
C42,106.476,-100.2788,180,top
D1,123.6,-90.5,180,top
D2,93.728598,-80,90,top
D3,87.228598,-111.5,-90,top
D5,119.5,-76.3822,180,top
D6,103,-77,90,top
D8,115.201,-100.2788,180,top
ENCA1,158.25,-120.75,90,top
ENCB1,162.75,-120.75,90,top
F1,92.228598,-73.5,0,top
F3,108,-69,-90,top
J1,95.928598,-64.3,180,top
J2,145.379351,-111.645301,0,top
J3,113.728598,-64.3,180,top
J4,126.5625,-51.7,180,top
J9,106.000001,-111.713902,0,top
J10,132.13655,-111.731801,0,top
J11,95.433398,-116.975,0,top
J12,119.055601,-111.713902,0,top
J13,172.2534,-79.626201,0,top
J14,166.3178,-99.546201,-90,top
L1,92.028598,-99.9,-90,top
L3,108.4,-95.885,-90,top
LS2,169.5,-65.5,0,top
MISO1,169.25,-113.75,0,top
MOSI1,158.75,-113.75,0,top
NRST1,170.85,-75.7,0,top
PWM1,99.728598,-107,90,top
Q2,160.75,-69.25,90,top
Q5,121.9,-105.966001,-90,top
Q6,130.5,-105.9,-90,top
Q7,126.25,-105.915201,-90,top
R1,120.05,-90.5,0,top
R2,146.157,-56.25,0,top
R3,146,-74.25,0,top
R4,146,-71.25,0,top
R5,89.728598,-111.5,-90,top
R6,84.128598,-93.4,-90,top
R7,86.128598,-93.4,90,top
R8,88.128598,-93.4,-90,top
R9,86.128598,-100.2,90,top
R10,86.128598,-96.8,90,top
R11,84.128598,-96.8,-90,top
R16,165.5,-90,0,top
R17,155.9441,-103.073601,0,top
R18,162,-60.75,0,top
R19,151.25,-76.25,90,top
R20,121,-102.25,-90,top
R25,129.534,-102.25,-90,top
R26,125.292402,-102.25,-90,top
R27,113.176,-103.7788,0,top
R28,95.228598,-107,-90,top
R29,116,-91.5,-90,top
R33,123,-102.25,90,top
R34,131.5,-102.25,90,top
R35,127.25,-102.25,90,top
R36,100.876,-89.6788,-90,top
R37,102.876,-89.6788,90,top
R38,104.876,-89.6788,-90,top
R39,100.876,-93.0788,-90,top
R40,102.876,-96.4788,90,top
R41,104.876,-93.0788,90,top
R42,111.201,-100.2788,0,top
SCK1,164,-113.75,0,top
SCL1,139.05,-62.65,0,top
SDA1,139,-58.45,0,top
SW1,145.85,-52.4602,180,top
SW2,155.1,-52.4302,180,top
SWCLK1,165.5,-75.7,0,top
SWDIO1,160.15,-75.7,0,top
U1,120.5,-84.5,-90,top
U2,141.2908,-88.516201,0,top
U3,136.999999,-69.726999,180,top
U4,149.25,-66.5,180,top
U5,91.6386,-95.800001,0,top
U7,153.528598,-94.55,180,top
U8,108.006001,-91.6788,0,top
